"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","FG","Life.Form"
"139",1,7,"141","Vochysia tucanorum",4.7,"4.7","6.2","VOTU",4.7,6.2,17.349430775,30.1906799,1,30.1906799,17.349430775,2.34999900751975,3.09999869077073,"G","tree"
"140",1,7,"142","Gochnatia polymorpha",3,"2.9+2.5+1.8+2","5.5","GOPO",2.9,5.5,17.20020525,23.758274375,1,23.758274375,17.20020525,2.33987080315673,2.74999883858694,"G","tree"
"141",1,7,"143","Myrcia fallax",3,"2.+2.9","3.4","MYFA",2.9,3.4,9.746782975,9.0791951,4,36.3167804,38.9871319,1.76139075148882,1.69999928203556,"G","tree"
"142",1,7,"144","Gochnatia polymorpha",5,"5.5","5.2","GOPO",5.5,5.2,23.758274375,21.2371484,1,21.2371484,23.758274375,2.74999883858694,2.59999890193674,"G","tree"
"143",1,7,"145","Gochnatia polymorpha",4.5,"7.9","9.3","GOPO",7.9,9.3,49.016657975,67.929029775,1,67.929029775,49.016657975,3.94999833178851,4.6499980361561,"G","tree"
"144",1,7,"146","Machaerium brasiliense",5,"5","6.3","MABR",5,6.3,19.6349375,31.172426775,1,31.172426775,19.6349375,2.49999894416995,3.14999866965413,"G","tree"
"145",1,7,"147","Vochysia tucanorum",3.2,"5.4","7.36","VOTU",5.4,7.36,22.9021911,42.544668416,1,42.544668416,22.9021911,2.69999885970354,3.67999844581816,"G","tree"
"146",1,7,"148","Annona coriacea",4.6,"6.5","6.7","ANCO",6.5,6.7,33.183044375,35.256493775,1,35.256493775,33.183044375,3.24999862742093,3.34999858518773,"S","tree"
"147",1,7,"149","Machaerium brasiliense",6,"6.3","7.5","MABR",6.3,7.5,31.172426775,44.178609375,1,44.178609375,31.172426775,3.14999866965413,3.74999841625492,"G","tree"
"148",1,7,"150","Annona crassiflora",2.8,"6","8.1","ANCR",6,8.1,28.27431,51.529929975,1,51.529929975,28.27431,2.99999873300394,4.04999828955531,"S","tree"
"149",1,8,"151","Myrcia fallax",2.8,"1.9","3","MYFA",1.9,3,2.835284975,7.0685775,4,28.27431,11.3411399,0.949999598784579,1.49999936650197,"G","tree"
"150",1,8,"152","Pera obovata",2.6,"1.7","2.5","PEOB",1.7,2.5,2.269798775,4.908734375,4,19.6349375,9.0791951,0.849999641017781,1.24999947208497,"G","tree"
"151",1,8,"153","Myrcia fallax",2.5,"1.3","2.3","MYFA",1.3,2.3,1.327321775,4.154752775,4,16.6190111,5.3092871,0.649999725484186,1.14999951431817,"G","tree"
"152",1,8,"154","Myrcia tomentosa",3,"3.7","4.7","MYTO",3.7,4.7,10.752091775,17.349430775,4,69.3977231,43.0083671,1.84999921868576,2.34999900751975,"G","tree"
"153",1,8,"155","Myrcia fallax",3.5,"4.8","5.2","MYFA",4.8,5.2,18.0955584,21.2371484,1,21.2371484,18.0955584,2.39999898640315,2.59999890193674,"G","tree"
"154",1,8,"156","Matayba elaeagnoides",2.5,"2.2","3.2","MAEL",2.2,3.2,3.8013239,8.0424704,4,32.1698816,15.2052956,1.09999953543478,1.59999932426877,"G","tree"
"155",1,8,"157","Campomanesia adamantium",2,"2.1","2.9","CAAD",2.1,2.9,3.463602975,6.605192975,4,26.4207719,13.8544119,1.04999955655138,1.44999938761857,"S","shrub"
"156",1,8,"158","Campomanesia adamantium",2,"1.5","2.7","CAAD",1.5,2.7,1.767144375,5.725547775,4,22.9021911,7.0685775,0.749999683250984,1.34999942985177,"S","shrub"
"157",1,8,"159","Campomanesia adamantium",2,"1.8","2.2","CAAD",1.8,2.2,2.5446879,3.8013239,4,15.2052956,10.1787516,0.89999961990118,1.09999953543478,"S","shrub"
"158",1,8,"160","Campomanesia adamantium",2.2,"1.5","3.1","CAAD",1.5,3.1,1.767144375,7.547669975,4,30.1906799,7.0685775,0.749999683250984,1.54999934538537,"S","shrub"
