"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","Life.Form","Phylo.name","Authority","Light.code","Char.height"
"60",1,3,"62","Gochnatia polymorpha",4,"7.9","9.2","GOPO",7.9,9.2,49.016657975,66.4760444,1,66.4760444,49.016657975,3.94999833178851,4.5999980572727,"tree","Gochnatia polymorpha","(Less.) G. Sancho",2,NA
"61",1,4,"59","Ocotea corymbosa",2.8,"2.4","2.4","OCCO",2.4,2.4,4.5238896,4.5238896,4,18.0955584,18.0955584,1.19999949320157,1.19999949320157,"tree","Ocotea corymbosa","(Meisn.) Mez",2,NA
"62",1,4,"64","Ocotea corymbosa",4,"2","2.5","OCCO",2,2.5,3.14159,4.908734375,4,19.6349375,12.56636,0.999999577667978,1.24999947208497,"tree","Ocotea corymbosa","(Meisn.) Mez",2,NA
"63",1,4,"65","Myrcia fallax",3.5,"4.9+4.1","6.6","MYFA",4.9,6.6,32.05992595,34.2119151,1,34.2119151,32.05992595,3.19452521984179,3.29999860630433,"tree","Myrcia splendens","(Sw.) DC.",2,NA
"64",1,4,"66","Campomanesia adamantium",2.4,"3.3","4.1","CAAD",3.3,4.1,8.552978775,13.202531975,4,52.8101279,34.2119151,1.64999930315216,2.04999913421936,"shrub","Campomanesia adamantium","(Cambess.) O.Berg",3,NA
"65",1,4,"67","Pera obovata",4.15,"3.5","4.4","PEOB",3.5,4.4,9.621119375,15.2052956,4,60.8211824,38.4844775,1.74999926091896,2.19999907086955,"tree","Pera glabrata","(Schott) Poepp. ex Baill.",NA,NA
"66",1,4,"68","Myrcia tomentosa",2.5,"1.2","1.8","MYTO",1.2,1.8,1.1309724,2.5446879,4,10.1787516,4.5238896,0.599999746600787,0.89999961990118,"tree","Myrcia tomentosa","(Aubl.) DC.",2,NA
"67",1,4,"69","Gochnatia polymorpha",3,"2","2.8","GOPO",2,2.8,3.14159,6.1575164,4,24.6300656,12.56636,0.999999577667978,1.39999940873517,"tree","Gochnatia polymorpha","(Less.) G. Sancho",NA,NA
"68",1,4,"70","Myrcia fallax",2.8,"1.4","2.4","MYFA",1.4,2.4,1.5393791,4.5238896,4,18.0955584,6.1575164,0.699999704367585,1.19999949320157,"tree","Myrcia splendens","(Sw.) DC.",2,NA
"69",1,4,"71","Miconia albicans",3.5,"2+1.2","2.8","MIAL",2,2.8,4.2725624,6.1575164,4,24.6300656,17.0902496,1.16618988644952,1.39999940873517,"treelet","Miconia albicans","(Sw.) Steud",2,NA
"70",1,4,"72","Styrax camporum",2.85,"2.6","3.3","STCA",2.6,3.3,5.3092871,8.552978775,4,34.2119151,21.2371484,1.29999945096837,1.64999930315216,"tree","Styrax camporum","Pohl",NA,NA
"71",1,4,"73","Miconia albicans",3.5,"1.1","2.1+1.1","MIAL",1.1,2.1,0.950330975,4.41393395,4,17.6557358,3.8013239,0.549999767717388,1.18532645851144,"treelet","Miconia albicans","(Sw.) Steud",2,NA
"72",1,4,"74","Gochnatia polymorpha",2.1,"4.1","5.5","GOPO",4.1,5.5,13.202531975,23.758274375,1,23.758274375,13.202531975,2.04999913421936,2.74999883858694,"tree","Gochnatia polymorpha","(Less.) G. Sancho",NA,NA
"73",1,4,"75","Miconia albicans",4.2,"2.1+1.5","2.5+3.7+1.8+2.8+2.1","MIAL",2.1,3.7,5.23074735,27.826633425,4,111.3065337,20.9229894,1.29034824510078,2.97615398096097,"treelet","Miconia albicans","(Sw.) Steud",2,NA
"74",1,4,"76","Rapanea umbellata",NA,"3.1","4.1","RAUM",3.1,4.1,7.547669975,13.202531975,4,52.8101279,30.1906799,1.54999934538537,2.04999913421936,"tree","Myrsine umbellata","Mart.",3,NA
"75",1,4,"77","Miconia ligustroides",5.05,"6.5","8.4","MILI",6.5,8.4,33.183044375,55.4176476,1,55.4176476,33.183044375,3.24999862742093,4.19999822620551,"treelet","Miconia ligustroides","(DC.) Naudin",3,NA
"76",1,4,"78","Gochnatia polymorpha",4,"7","7.9","GOPO",7,7.9,38.4844775,49.016657975,1,49.016657975,38.4844775,3.49999852183792,3.94999833178851,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"77",1,4,"79","Rapanea umbellata",5.05,"7.5","9.7","RAUM",7.5,9.7,44.178609375,73.898050775,1,73.898050775,44.178609375,3.74999841625492,4.84999795168969,"tree","Myrsine umbellata","Mart.",3,NA
"78",1,4,"80","Gochnatia polymorpha",6,"9","10.7","GOPO",9,10.7,63.6171975,89.920159775,1,89.920159775,63.6171975,4.4999980995059,5.34999774052368,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"79",1,4,"81","Myrcia fallax",3.8,"6.9","6.8+6.8","MYFA",6.9,6.8,37.392774975,72.6335608,1,72.6335608,37.392774975,3.44999854295453,4.80832408135843,"tree","Myrcia splendens","(Sw.) DC.",2,NA
"80",1,4,"82","Vochysia tucanorum",6,"10.7","13.3","VOTU",10.7,13.3,89.920159775,138.928963775,1,138.928963775,89.920159775,5.34999774052368,6.64999719149206,"tree","Vochysia tucanorum","",5,NA
"81",1,4,"83","Gochnatia polymorpha",5,"14.4","15.8","GOPO",14.4,15.8,162.8600256,196.0666319,1,196.0666319,162.8600256,7.19999695920944,7.89999666357703,"tree","Gochnatia polymorpha","(Less.) G. Sancho",4,NA
"82",1,4,"84","Stryphnodendron rotundifolium",3.85,"8.8","6.7","STRO",8.8,6.7,60.8211824,35.256493775,1,35.256493775,60.8211824,4.3999981417391,3.34999858518773,"tree","Stryphnodendron rotundifolium","Mart.",3,NA
"83",1,4,"85","Gochnatia polymorpha",4.9,"8+5.3","11.6","GOPO",8,11.6,72.327255775,105.6830876,1,105.6830876,72.327255775,4.79817471062967,5.79999755047427,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"84",1,4,"86","Rapanea umbellata",5,"5","6.3","RAUM",5,6.3,19.6349375,31.172426775,1,31.172426775,19.6349375,2.49999894416995,3.14999866965413,"tree","Myrsine umbellata","Mart.",3,NA
"85",1,4,"87","Rapanea umbellata",5.5,"9.2","8.2","RAUM",9.2,8.2,66.4760444,52.8101279,1,52.8101279,66.4760444,4.5999980572727,4.09999826843871,"tree","Myrsine umbellata","Mart.",4,NA
"86",1,4,"88","Gochnatia polymorpha",4.1,"6.7+5.3","11.8","GOPO",6.7,11.8,57.31830955,109.3587479,1,109.3587479,57.31830955,4.27141482287869,5.89999750824107,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"87",1,4,"89","Gochnatia polymorpha",3.75,"7","9.5","GOPO",7,9.5,38.4844775,70.882124375,1,70.882124375,38.4844775,3.49999852183792,4.7499979939229,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"88",1,4,"90","Rapanea umbellata",5.3,"9","7.1","RAUM",9,7.1,63.6171975,39.591887975,1,39.591887975,63.6171975,4.4999980995059,3.54999850072132,"tree","Myrsine umbellata","Mart.",4,NA
"89",1,4,"91","Gochnatia polymorpha",5.5,"13.1","14.8","GOPO",13.1,14.8,134.782064975,172.0334684,1,172.0334684,134.782064975,6.54999723372526,7.39999687474304,"tree","Gochnatia polymorpha","(Less.) G. Sancho",4,NA
"90",1,4,"92","Vochysia tucanorum",3,"5.6","7.4","VOTU",5.6,7.4,24.6300656,43.0083671,1,43.0083671,24.6300656,2.79999881747034,3.69999843737152,"tree","Vochysia tucanorum","",4,NA
"91",1,5,"93","Machaerium brasiliense",5,"4.4","5.8","MABR",4.4,5.8,15.2052956,26.4207719,1,26.4207719,15.2052956,2.19999907086955,2.89999877523714,"tree","Machaerium brasiliense","Vogel",3,NA
"92",1,5,"94","Rapanea umbellata",3.5,"2.4","2.8","RAUM",2.4,2.8,4.5238896,6.1575164,4,24.6300656,18.0955584,1.19999949320157,1.39999940873517,"tree","Myrsine umbellata","Mart.",2,NA
"93",1,5,"95","Rapanea umbellata",3,"2.4","3","RAUM",2.4,3,4.5238896,7.0685775,4,28.27431,18.0955584,1.19999949320157,1.49999936650197,"tree","Myrsine umbellata","Mart.",2,NA
"94",1,5,"96","Rapanea umbellata",2.5,"1.2","2","RAUM",1.2,2,1.1309724,3.14159,4,12.56636,4.5238896,0.599999746600787,0.999999577667978,"tree","Myrsine umbellata","Mart.",NA,NA
"95",1,5,"97","Rapanea umbellata",2,"1","1.8","RAUM",1,1.8,0.7853975,2.5446879,4,10.1787516,3.14159,0.499999788833989,0.89999961990118,"tree","Myrsine umbellata","Mart.",NA,NA
"96",1,5,"98","Miconia albicans",2.4,"1.6+1.5","2.5+3.9","MIAL",1.6,3.9,3.777761975,16.85463035,4,67.4185214,15.1110479,1.09658514684985,2.31624598615483,"treelet","Miconia albicans","(Sw.) Steud",2,NA
"97",1,5,"99","Rapanea umbellata",2.9,"2","2.8","RAUM",2,2.8,3.14159,6.1575164,4,24.6300656,12.56636,0.999999577667978,1.39999940873517,"tree","Myrsine umbellata","Mart.",3,NA
