"","X","Genus","Species","Family","Old.name","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"198",198,"Cupania","vernalis","Sapindaceae","Cupania vernalis","CUVE","F","tree","Cupania vernalis","CUVE","Cambess.","",NA,"F","F","F"
"199",199,"Matayba","elaeagnoides","Sapindaceae","Matayba elaeagnoides","MAEL","G","tree","Matayba elaeagnoides","MAEL","Radlk.","",NA,"G","F","F"
"200",200,"Chrysophyllum","marginatum","Sapotaceae","Chrysophyllum marginatum","CHMA","G","tree","Chrysophyllum marginatum","CHMA","(Hook. & Arn.) Radlk.","",NA,"G","F","F"
"201",201,"Pouteria","ramiflora","Sapotaceae","Pouteria ramiflora","PORA","G","tree","Pouteria ramiflora","PORA","(Mart.) Radlk.","",NA,"S","S","S"
"203",203,"Pouteria","torta","Sapotaceae","Pouteria torta","POTO","S","tree","Pouteria torta","POTO","(Mart.) Radlk.","",NA,"S","S","S"
"204",204,"Siparuna","guianensis","Siparunaceae","Siparuna guianensis","SIGU","G","tree","Siparuna guianensis","SIGU","Aubl.","",NA,"G","G","G"
"205",205,"Cestrum","mariquitense","Solanaceae","Cestrum mariquitense","CESE","F","shrub","Cestrum mariquitense","CEMA","Kunth","",NA,"F","F","F"
"206",206,"Solanum","lycocarpum","Solanaceae","Solanum lycocarpum","SOLY","S","shrub","Solanum lycocarpum","SOLY","A.St.-Hil.","",NA,"S","S","S"
"207",207,"Styrax","camporum","Styracaceae","Styrax camporum","STCA","S","tree","Styrax camporum","STCA","Pohl","",NA,"G","G","S"
"208",208,"Styrax","ferrugineus","Styracaceae","Styrax ferrugineus","STFE","S","tree","Styrax ferrugineus","STFE","Nees & Mart.","",NA,"G","S","S"
"209",209,"Styrax","pohlii","Styracaceae","Styrax pohlii","STPO","F","tree","Styrax pohlii","STPO","A. DC.","",NA,"F","F","F"
"210",210,"Symplocos","mosenii","Symplocaceae","Symplocos mosenii","SYRE","G","tree","Symplocos revoluta","SYRE","Casar.","",NA,"F","F","F"
"211",211,"Symplocos","pubescens","Symplocaceae","Symplocos pubescens","SYPU","S","treelet","Symplocos pubescens","SYPU","Klotzsch ex Benth.","",NA,"G","G","S"
"212",212,"Daphnopsis","fasciculata","Thymelaeaceae","Daphnopsis fasciculata","DAFA","G","tree","Daphnopsis fasciculata","DAFA","(Meisn.) Nevling","",NA,"F","F","F"
"213",213,"Daphnopsis","racemosa","Thymelaeaceae","Daphnopsis racemosa","DARA","G","tree","Daphnopsis racemosa","DARA","Griseb.","",NA,"G","G","G"
"214",214,"Cecropia","pachystachya","Urticaceae","Cecropia pachystachya","CEPA","G","tree","Cecropia pachystachya","CEPA","Trécul","",NA,"F","F","F"
"216",216,"Lippia","salviifolia","Verbenaceae","Lippia salviifolia","LISA","S","shrub","Lippia origanoides","LIOR","Cham.","",NA,"S","S","S"
"217",217,"Qualea","cordata","Vochysiaceae","Qualea cordata","QUCO","S","tree","Qualea cordata","QUCO","Spreng.","",NA,"G","G","G"
"218",218,"Qualea","grandiflora","Vochysiaceae","Qualea grandiflora","QUGR","S","tree","Qualea grandiflora","QUGR","Mart.","",NA,"S","S","S"
"219",219,"Qualea","multiflora","Vochysiaceae","Qualea multiflora","QUMU","S","tree","Qualea multiflora","QUMU","Mart.","",NA,"G","G","S"
"220",220,"Vochysia","tucanorum","Vochysiaceae","Vochysia tucanorum","VOTU","G","tree","Vochysia tucanorum","VOTU","Mart.","",NA,"G","G","G"
