OID,Individual,Old name,,Code,Number,Date,D30,DBH,Ht,Lower leaf,Bark1,Bark2,Bark3,Can 1 ,Can 2,Light ,Comments,
484,COLA-B4,,Bonus,COLA,,8/7/2017,20,NA,NA,NA,10.11,9.25,6.25,,,NA,4413,
485,PIAX-B1,,Bonus,PIAX,,8/7/2017,28,NA,NA,NA,19.13,14.87,17.59,,,NA,,
486,AMIN-B2,,Bonus,AMIN,,8/7/2017,9,NA,NA,NA,4.93,4.51,3.35,,,NA,,
487,PIAX-B2,,Bonus,PIAX,,8/7/2017,29,NA,NA,NA,18.33,22.34,17.43,,,NA,,
488,PLPO-B1,,Bonus,PLPO,,8/9/2017,27.1,"12.0,17.1,12.5,13.3",750,110,15.62,12.39,13.36,,,5,long core,
489,GOPO-B1,,Bonus,GOPO,,8/9/2017,23.7,24,647,253,28.75,20.08,24.45,,,5,long core,
490,GOPO-B2,,Bonus,GOPO,,8/9/2017,25.5,25,478,45,26.71,38.5,36.75,,,5,long core,
491,DIMO-B1,,Bonus,DIMO,,8/9/2017,20.3,19.7,563,210,23.79,22.62,21.24,,,5,no core,
492,OCCO-B1,,Bonus,OCCO,,8/9/2017,30.5,27.9,781,343,16.5,16.6,15.06,,,5,no core,
493,OCCO-B2,,Bonus,OCCO,,8/9/2017,33.5,27.2,1060,510,13.14,16.17,15.05,,,5,long core,
494,OCCO-B3,,Bonus,OCCO,,8/9/2017,52,31,900,420,19.16,20.44,14.15,,,5,no core,
495,PEOB-B1,,Bonus,PEOB,,8/9/2017,30,"15.1,18.3",870,253,7.23,5.79,5.4,,,4,no core,
496,VOTU-B1,,Bonus,VOTU,,8/9/2017,35.5,29.7,820,456,22.41,20.47,22.56,,,5,long core,
497,MAAC-B1,,Bonus,MAAC,,8/9/2017,40.9,37.9,1200,582,42.09,33.72,44.21,,,4,no core,
498,PEOB-B2,,Bonus,PEOB,,8/9/2017,23.1,"15.2,17.8",910,632,7.55,7.64,6.76,,,4,long core,
499,PEOB-B3,,Bonus,PEOB,,8/9/2017,28.5,27.9,880,245,7.23,8.23,6.79,,,4,long core,
500,MAAC-B2,,Bonus,MAAC,,8/9/2017,42.2,36.1,1100,373,56.88,44.03,46.6,,,5,no core,
501,VOTU-B2,,Bonus,VOTU,,8/9/2017,45.5,47.5,1050,309,21.09,29.08,30.06,,,4,no core,
502,CUTE-B1,,Bonus,CUTE,,8/9/2017,12,12.3,555,245,4.7,4.2,4.68,,,3,no core,
503,TAGU-B1,,Bonus,TAGU,,8/9/2017,31.9,28.4,1050,540,8.2,8.68,7.5,,,5,no core,
504,PEOB-B4,,Bonus,PEOB,,8/10/2017,27.5,24.5,NA,NA,10.07,9.45,6.6,,,3,long core,
505,VOTU-B3,,Bonus,VOTU,,8/10/2017,48.8,45.5,NA,NA,28.48,29.06,31.25,,,4,,
506,VOTU-B4,,Bonus,VOTU,,8/10/2017,26.5,25.6,NA,NA,21.12,21.43,21.98,,,4,long core,
507,RAUM-B1,,Bonus,RAUM,,8/10/2017,14.5,12.8,NA,NA,8.49,6.93,6.61,,,4,881,
508,LIMO-B1,,Bonus,LIMO,,8/10/2017,12.4,12.3,NA,NA,7.97,6.64,8.06,,,3,887,
509,MAAC-B3,,Bonus,MAAC,,8/10/2017,26,27,NA,NA,27.41,36.93,35.49,,,4,,
510,PLEL-B1,,Bonus,PLEL,,8/10/2017,34.8,33.2,NA,NA,42.36,35.43,32.41,,,4,996,
511,PLEL-B2,,Bonus,PLEL,,8/10/2017,25.5,23.8,NA,NA,16.87,30.12,16.15,,,3,997,
512,MYMU-B1,,Bonus,MYMU,,8/10/2017,7.6,7.3,NA,NA,0.79,0.8,0.88,,,2,1010,
513,CUVE-B1,,Bonus,CUVE,,8/10/2017,9.3,7.1,NA,NA,10.46,6.31,14.39,,,3,1011,
514,MYTO-B1,,Bonus,MYTO,,8/10/2017,11,6.8,NA,NA,5.56,5.02,5.09,,,3,,
515,GOPO-B3,,Bonus,GOPO,,8/10/2017,42.1,40.2,NA,NA,42.93,50.36,49.38,,,5,2011,
516,VOTU-B5,,Bonus,VOTU,,8/10/2017,56,53.4,NA,NA,26.93,32.61,27.91,,,5,2016,
517,OCMI-B1,,Bonus,OCMI,,8/10/2017,34,32.5,NA,NA,27.85,26.23,27.42,,,5,2038,
518,CASY-B1,,Bonus,CASY,,8/10/2017,13.1,11.8,NA,NA,6.63,6.38,4.75,,,2,2031,
519,CASY-B2,,Bonus,CASY,,8/10/2017,7,6.4,NA,NA,4.09,3.22,4.97,,,2,1408,
520,MYFA-B1,,Bonus,MYFA,,8/10/2017,10,8.2,NA,NA,17.09,10.13,10.31,,,4,,
521,PEOB-B5,,Bonus,PEOB,,8/10/2017,14.4,12.9,NA,NA,4.15,4.74,3.65,,,4,core,
522,GOPO-B4,,Bonus,GOPO,,8/10/2017,27.9,26.1,NA,NA,34.82,30.5,30.91,,,5,core,
523,MAEL-B1,,Bonus,MAEL,,8/10/2017,14.1,13,NA,NA,5.4,4.98,3.51,,,4,2690,
524,MAEL-B2,,Bonus,MAEL,,8/10/2017,29.4,26.2,NA,NA,7.3,6.54,5.81,,,4,2695,
525,OCVE-B1,,Bonus,OCVE,,8/10/2017,25.8,24,NA,NA,18.77,15.43,17.23,,,4,2740,
526,OCVE-B2,,Bonus,OCVE,,8/10/2017,16.8,14,NA,NA,12.19,13.62,11.49,,,3,2744,
527,MYTO-B2,,Bonus,MYTO,,8/10/2017,20.9,15.7,NA,NA,8.3,7.62,6.25,,,3,2763,
528,LAHA-B1,,Bonus,LAHA,,8/10/2017,8.4,7.5,NA,NA,2.63,2.13,2.28,,,2,4841,
529,STCA-B1,,Bonus,STCA,,8/10/2017,8.8,7.5,NA,NA,3.3,2.89,3.1,,,2,4894,
530,RAFE-B1,,Bonus,RAFE,,8/10/2017,8.8,6.5,NA,NA,3.9,3.76,3.52,,,3,4898,
531,CASY-B1,,Bonus,CASY,,8/10/2017,8.6,8.2,NA,NA,3.66,4.44,4.92,,,2,4922,
532,CASY-B2,,Bonus,CASY,,8/10/2017,17.4,16,NA,NA,6.25,6.23,5.26,,,3,4931,
533,GOPO-B5,,Bonus,GOPO,,8/10/2017,20.8,18.9,NA,NA,27.29,29.29,27.06,,,3,core,
534,VOTU-B6,,Bonus,VOTU,,8/10/2017,18,16.1,NA,NA,13.59,14.14,13.37,,,4,core,
535,ANFA-B2,,Bonus,ANFA,,8/10/2017,46.5,44.8,NA,NA,41.09,46.62,NA,,,5,,
536,OCCO-B4,,Bonus,OCCO,,8/10/2017,22.1,24.2,NA,NA,23.31,17.98,18.55,,,4,core,
537,OCCO-B5,,Bonus,OCCO,,8/10/2017,20.5,19.5,NA,NA,7.14,7.15,7.3,,,4,core,
538,OCCO-B6,,Bonus,OCCO,,8/10/2017,17,15.5,NA,NA,7.34,7.3,7.62,,,3,core,
539,PEOB-B6,,Bonus,PEOB,,8/10/2017,38,"30.1,22",NA,NA,10.22,9.93,7.49,,,5,core,
540,GOPO-B6,,Bonus,GOPO,,8/10/2017,39.1,38.1,NA,NA,50.31,52,NA,,,4,core,
541,OCCO-B7,,Bonus,OCCO,,8/10/2017,15.2,13.8,NA,NA,6.03,6.94,5.33,,,4,core,
542,STRO-B1,,Bonus,STRO,,8/10/2017,20.2,19.4,NA,NA,21.51,18.78,17.61,,,4,,
543,VOTU-B7,,Bonus,VOTU,,8/10/2017,26.8,22.4,NA,NA,16.69,19.88,16.22,,,3,core,
544,VOTU-B8,,Bonus,VOTU,,8/10/2017,15.2,14,NA,NA,16.64,21.09,17.65,,,3,core,
546,nAEVE1,,Bonus,AEVE,1,6/4/2018,3.6,2.1,266,180,NA,NA,NA,,,4,Imported from LAI project,
547,nAEVE2,,Bonus,AEVE,2,6/4/2018,3.7,3.2,302,129,NA,NA,NA,,,4,Imported from LAI project,
548,nAEVE3,,Bonus,AEVE,3,6/4/2018,3,2.2,262,160,NA,NA,NA,,,4,Imported from LAI project,
549,nAEVE4,,Bonus,AEVE,4,6/4/2018,3.4,2,248,182,NA,NA,NA,,,5,Imported from LAI project,
550,nAEVE5,,Bonus,AEVE,5,6/4/2018,2,2.7,167,72,NA,NA,NA,,,5,Imported from LAI project,
551,nAEVE6,,Bonus,AEVE,6,6/19/2018,4.7,3.5,300,140,NA,NA,NA,,,4,Imported from LAI project,
552,nAMIN1,,Bonus,AMIN,1,6/25/2018,8.8,"3.7,6.8,2.9",517,90,4.05,3.21,4.46,,,3,Imported from LAI project,
553,nAMIN2,,Bonus,AMIN,2,7/11/2018,4.5,"2.9,3.3",485,197,2.93,2.31,2.46,,,3,Imported from LAI project,
554,nAMIN3,,Bonus,AMIN,3,7/11/2018,6.5,5.6,682,330,3.09,3.28,2.98,,,3,Imported from LAI project,
555,nAMIN4,,Bonus,AMIN,4,7/11/2018,4.2,3.5,401,253,2.43,2.78,2.08,,,3,Imported from LAI project,
556,nAMIN5,,Bonus,AMIN,5,7/11/2018,7.8,"4.5,5.1",504,160,3.08,3.58,5.35,,,4,Imported from LAI project,
557,nANCR1,,Bonus,ANCR,1,6/20/2018,11.8,10.4,464,170,NA,NA,NA,,,5,Imported from LAI project,
558,nANCR2,,Bonus,ANCR,2,6/20/2018,15,12.5,542,240,NA,NA,NA,,,5,Imported from LAI project,
559,nANCR3,,Bonus,ANCR,3,6/21/2018,9.9,8,444,40,NA,NA,NA,,,4,Imported from LAI project,
560,nANCR4,,Bonus,ANCR,4,6/19/2018,17.2,16.2,539,130,NA,NA,NA,,,5,Imported from LAI project,
561,nANCR5,,Bonus,ANCR,5,6/19/2018,14.6,13.8,404,130,NA,NA,NA,,,5,Imported from LAI project,
562,nANFA1,,Bonus,ANFA,1,7/20/2018,33.5,32.1,1600,650,50.5,52.33,70.18,,,4,Imported from LAI project,
563,nANFA10,,Bonus,ANFA,10,7/11/2018,16.7,15.7,617,467,NA,NA,NA,,,4,Imported from LAI project,
564,nANFA2,,Bonus,ANFA,2,6/29/2018,8,6.6,401,20,15.53,15.3,19.61,,,4,Imported from LAI project,
565,nANFA3,,Bonus,ANFA,3,6/29/2018,11.6,9.6,415,130,22.44,23.54,23.18,,,4,Imported from LAI project,
566,nANFA4,,Bonus,ANFA,4,6/29/2018,9.7,8,445,80,18.06,21.55,22.7,,,4,Imported from LAI project,
567,nANFA5,,Bonus,ANFA,5,6/29/2018,11.2,10,556,235,23.3,21.19,23.98,,,4,Imported from LAI project,
568,nANFA6,,Bonus,ANFA,6,6/29/2018,9.5,8.9,475,215,14.92,19.65,14.06,,,4,Imported from LAI project,
569,nANFA7,,Bonus,ANFA,7,6/29/2018,16.4,14.7,544,175,36.55,38.87,41.29,,,5,Imported from LAI project,
570,nANFA8,,Bonus,ANFA,8,6/29/2018,7.5,6.2,402,90,12.06,16.02,15.98,,,4,Imported from LAI project,
571,nANFA9,,Bonus,ANFA,9,6/29/2018,5.8,5.2,283,109,12.33,12.25,12.77,,,4,Imported from LAI project,
572,nCAAD1,,Bonus,CAAD,1,7/8/2018,2,".9,.8,.8",211,126,1.75,NA,NA,,,4,Imported from LAI project,
573,nCAAD2,,Bonus,CAAD,2,7/8/2018,2.9,1.9,232,110,3.06,NA,NA,,,4,Imported from LAI project,
574,nCAAD3,,Bonus,CAAD,3,7/8/2018,2.1,".7,.7,.6,.6",181,90,1.88,NA,NA,,,4,Imported from LAI project,
575,nCAAD4,,Bonus,CAAD,4,7/8/2018,2.7,"1.7,1,1,.8,.7",190,80,1.98,NA,NA,,,4,Imported from LAI project,
576,nCAAD5,,Bonus,CAAD,5,7/8/2018,4.1,"1.1,1.1,1.2,1.3",191,140,2.8,NA,NA,,,4,Imported from LAI project,
577,nCASY1,,Bonus,CASY,1,7/26/2018,2.4,1,205,90,NA,NA,NA,,,4,Imported from LAI project,
578,nCASY2,,Bonus,CASY,2,7/26/2018,4,2,250,100,NA,NA,NA,,,4,Imported from LAI project,
579,nCASY3,,Bonus,CASY,3,7/26/2018,5.5,2,217,135,NA,NA,NA,,,4,Imported from LAI project,
580,nCASY4,,Bonus,CASY,4,7/26/2018,2.8,1.7,198,100,6.87,6.34,NA,,,4,Imported from LAI project,
581,nCASY5,,Bonus,CASY,5,7/26/2018,1.6,1,162,115,2.66,NA,NA,,,4,Imported from LAI project,
582,nCOLA1,,Bonus,COLA,1,7/3/2018,13.5,9.9,722,270,18.68,11.88,10.38,,,4,Imported from LAI project,
583,nCOLA2,,Bonus,COLA,2,6/29/2018,25.5,21.6,1200,320,18.99,15.42,17.75,,,4,Imported from LAI project,
584,nCOLA3,,Bonus,COLA,3,7/3/2018,15.7,12.8,900,400,16.07,12.83,10.55,,,4,Imported from LAI project,
585,nCOLA4,,Bonus,COLA,4,7/3/2018,8,4.8,389,130,9.59,8.07,10.55,,,3,Imported from LAI project,
586,nCOLA5,,Bonus,COLA,5,7/10/2018,26.6,24.8,1040,550,27.67,21.28,18.73,,,5,Imported from LAI project,
587,nDIMO1,,Bonus,DIMO,1,7/26/2018,11,8.6,451,150,NA,NA,NA,,,5,Imported from LAI project,
588,nDIMO2,,Bonus,DIMO,2,7/26/2018,6.2,5.4,356,150,9.32,NA,NA,,,5,Imported from LAI project,
589,nDIMO3,,Bonus,DIMO,3,7/26/2018,10.8,"8.5,5.9",370,110,17.67,NA,NA,,,5,Imported from LAI project,
590,nDIMO4,,Bonus,DIMO,4,7/26/2018,8.2,5.9,365,130,NA,NA,NA,,,5,Imported from LAI project,
591,nDIMO5,,Bonus,DIMO,5,7/26/2018,4.8,3.2,240,90,11.32,NA,NA,,,5,Imported from LAI project,
592,nERGR1,,Bonus,ERGR,1,7/27/2018,13.5,10.5,392,80,17.84,20.5,17.89,,,5,Imported from LAI project,
593,nERGR2,,Bonus,ERGR,2,7/27/2018,12,9.8,382,185,17.1,21.19,20.39,,,5,Imported from LAI project,
594,nERGR3,,Bonus,ERGR,3,7/27/2018,12,11,382,70,20.19,22.57,19.28,,,5,Imported from LAI project,
595,nERGR4,,Bonus,ERGR,4,7/27/2018,11.7,8.8,364,90,14.39,18.66,20.48,,,5,Imported from LAI project,
596,nERGR5,,Bonus,ERGR,5,7/27/2018,8.8,7,277,120,15.88,17.01,14.1,,,5,Imported from LAI project,
597,nGOBA1,,Bonus,GOBA,1,7/7/2018,5,"1,1,1,1,1",230,115,2.31,NA,NA,,,4,Imported from LAI project,
598,nGOBA2,,Bonus,GOBA,2,7/7/2018,2.5,"1.7,1",277,105,2.01,NA,NA,,,5,Imported from LAI project,
599,nGOBA3,,Bonus,GOBA,3,7/7/2018,2.6,2,237,90,2,NA,NA,,,5,Imported from LAI project,
600,nGOBA4,,Bonus,GOBA,4,7/7/2018,3,"1.4,1.6,1,.9",238,120,2.19,NA,NA,,,5,Imported from LAI project,
601,nGOBA5,,Bonus,GOBA,5,7/7/2018,2,".5,.5,.5,.5,.5",182,80,1.45,NA,NA,,,5,Imported from LAI project,
602,nGOPO1,,Bonus,GOPO,1,5/24/2018,17,16.4,420,40,NA,NA,NA,,,5,Imported from LAI project,
603,nGOPO10,,Bonus,GOPO,10,5/31/2018,6.2,5.4,301,60,NA,NA,NA,,,5,Imported from LAI project,
604,nGOPO11,,Bonus,GOPO,11,5/31/2018,6.8,"4.5, 4.0",325,60,NA,NA,NA,,,5,Imported from LAI project,
605,nGOPO12,,Bonus,GOPO,12,5/31/2018,7.2,4.5,322,75,NA,NA,NA,,,5,Imported from LAI project,
606,nGOPO13,,Bonus,GOPO,13,5/31/2018,6,5.4,361,153,NA,NA,NA,,,5,Imported from LAI project,
607,nGOPO14,,Bonus,GOPO,14,5/31/2018,16,12.3,476,55,NA,NA,NA,,,5,Imported from LAI project,
608,nGOPO15,,Bonus,GOPO,15,6/19/2018,37.5,"16.4,14.5,11.6,17,11.5",630,50,NA,NA,NA,,,5,Imported from LAI project,
609,nGOPO2,,Bonus,GOPO,2,5/28/2018,7.7,3.4,340,120,NA,NA,NA,,,5,Imported from LAI project,
610,nGOPO3,,Bonus,GOPO,3,5/29/2018,10.5,"2.4, 2.0",230,120,NA,NA,NA,,,5,Imported from LAI project,
611,nGOPO4,,Bonus,GOPO,4,5/29/2018,7.8,7,315,110,NA,NA,NA,,,5,Imported from LAI project,
612,nGOPO5,,Bonus,GOPO,5,5/29/2018,"8.2, 6.0","4, 5, 5.4, 3.6, 5.4",355,120,NA,NA,NA,,,5,Imported from LAI project,
613,nGOPO6,,Bonus,GOPO,6,5/29/2018,6.8,4.1,280,111,NA,NA,NA,,,5,Imported from LAI project,
614,nGOPO7,,Bonus,GOPO,7,5/29/2018,9.5,"1.7, 2.0",230,40,NA,NA,NA,,,5,Imported from LAI project,
615,nGOPO8,,Bonus,GOPO,8,5/31/2018,2,1.1,225,67,NA,NA,NA,,,5,Imported from LAI project,
616,nGOPO9,,Bonus,GOPO,9,5/31/2018,2.8,1.5,230,77,NA,NA,NA,,,5,Imported from LAI project,
617,nLAHA1,,Bonus,LAHA,1,5/28/2018,2,1.5,170,16,NA,NA,NA,,,2,Imported from LAI project,
618,nLEEL1,,Bonus,LEEL,1,6/16/2018,5.2,3.7,231,100,NA,NA,NA,,,4,Imported from LAI project,
619,nLEEL10,,Bonus,LEEL,10,6/17/2018,8.3,"6.1,5.2",260,136,22.14,24.63,22.9,,,3,Imported from LAI project,
620,nLEEL2,,Bonus,LEEL,2,6/16/2018,4.7,3.5,242,100,NA,NA,NA,,,3,Imported from LAI project,
621,nLEEL3,,Bonus,LEEL,3,6/16/2018,5.6,"2.2,2",242,80,NA,NA,NA,,,3,Imported from LAI project,
622,nLEEL4,,Bonus,LEEL,4,6/16/2018,7,6.4,311,130,NA,NA,NA,,,3,Imported from LAI project,
623,nLEEL5,,Bonus,LEEL,5,6/17/2018,7.9,7.3,335,170,20.93,24.68,22.44,,,4,Imported from LAI project,
624,nLEEL6,,Bonus,LEEL,6,6/17/2018,8,6.8,332,127,17.9,17.55,20.7,,,4,Imported from LAI project,
625,nLEEL7,,Bonus,LEEL,7,6/17/2018,6.4,"1,1,1,1",160,80,14.01,16.42,14.44,,,4,Imported from LAI project,
626,nLEEL8,,Bonus,LEEL,8,6/17/2018,6.5,"4,2.9",188,70,16.72,18.71,22.72,,,4,Imported from LAI project,
627,nLEEL9,,Bonus,LEEL,9,6/17/2018,7.6,6,254,120,23.73,25,21.62,,,3,Imported from LAI project,
628,nMAAC1,,Bonus,MAAC,1,6/2/2018,5,2.7,265,110,NA,NA,NA,,,5,Imported from LAI project,
629,nMAAC10,,Bonus,MAAC,10,6/17/2018,7.9,"5.8,2.8",398,170,NA,NA,NA,,,4,Imported from LAI project,
630,nMAAC2,,Bonus,MAAC,2,6/2/2018,2.6,1,177,80,NA,NA,NA,,,5,Imported from LAI project,
631,nMAAC3,,Bonus,MAAC,3,6/2/2018,"2.3, 4.4","1.2, 1.4, 1.2",195,100,NA,NA,NA,,,5,Imported from LAI project,
632,nMAAC4,,Bonus,MAAC,4,6/2/2018,1.8,0.8,172,70,NA,NA,NA,,,5,Imported from LAI project,
633,nMAAC5,,Bonus,MAAC,5,6/2/2018,"10.2, 7.5","9.7, 7.5",487,200,NA,NA,NA,,,5,Imported from LAI project,
634,nMAAC6,,Bonus,MAAC,6,6/18/2018,20.9,21.2,740,460,NA,NA,NA,,,5,Imported from LAI project,
635,nMAAC7,,Bonus,MAAC,7,6/18/2018,12.5,12,546,252,NA,NA,NA,,,4,Imported from LAI project,
636,nMAAC8,,Bonus,MAAC,8,6/16/2018,5,3.8,342,145,NA,NA,NA,,,4,Imported from LAI project,
637,nMAAC9,,Bonus,MAAC,9,6/25/2018,10.2,9.5,383,120,NA,NA,NA,,,4,Imported from LAI project,
638,nMABR1,,Bonus,MABR,1,7/6/2018,9.4,8,686,170,4.4,4.41,2.76,,,4,Imported from LAI project,
639,nMABR2,,Bonus,MABR,2,7/6/2018,32.2,27.8,1300,570,8.46,8.8,9.88,,,5,Imported from LAI project,
640,nMABR3,,Bonus,MABR,3,7/6/2018,14.5,10.7,741,224,4.73,7.11,4.62,,,5,Imported from LAI project,
641,nMABR4,,Bonus,MABR,4,7/6/2018,14,12.5,850,296,5.48,6.44,4.86,,,5,Imported from LAI project,
642,nMABR5,,Bonus,MABR,5,7/6/2018,10,9.2,757,460,4.16,3.25,3.31,,,5,Imported from LAI project,
643,nMAEL1,,Bonus,MAEL,1,6/19/2018,2.5,1.5,219,55,2.18,NA,NA,,,4,Imported from LAI project,
644,nMAEL2,,Bonus,MAEL,2,7/5/2018,"13.4,12","11.9,11.2",713,210,6.65,5.88,5.99,,,5,Imported from LAI project,
645,nMAEL3,,Bonus,MAEL,3,7/7/2018,8.5,6.5,335,125,5.05,5.25,4.19,,,5,Imported from LAI project,
646,nMAEL4,,Bonus,MAEL,4,7/14/2018,4.2,"2.8,2.7",379,110,2.2,2.1,2.06,,,4,Imported from LAI project,
647,nMAEL5,,Bonus,MAEL,5,7/14/2018,3.5,2.1,296,90,3.06,2.35,2.69,,,5,Imported from LAI project,
648,nMIAL1,,Bonus,MIAL,1,7/12/2018,4.8,"2.3,1.7",276,40,4.33,5.28,4.5,,,4,Imported from LAI project,
649,nMIAL2,,Bonus,MIAL,2,7/12/2018,4.5,"1.5,1.6,1.3",259,30,4.45,5.12,4.25,,,4,Imported from LAI project,
650,nMIAL3,,Bonus,MIAL,3,7/12/2018,6.1,"3.1,3.1,2.9",337,10,6.36,6.68,6.79,,,5,Imported from LAI project,
651,nMIAL4,,Bonus,MIAL,4,7/13/2018,"6.5,5.5,5","4,3,2.1,2.3,2.5",272,30,4.1,7.55,6.6,,,4,Imported from LAI project,
652,nMIAL5,,Bonus,MIAL,5,7/13/2018,"1.8,1.4",".7,.5,.5,.5",170,10,2.13,1.82,2.32,,,4,Imported from LAI project,
653,nMILI1,,Bonus,MILI,1,6/18/2018,27,"9.9,16",673,100,NA,NA,NA,,,5,Imported from LAI project,
654,nMILI2,,Bonus,MILI,2,6/30/2018,9.5,8,541,165,6.7,6.53,7.56,,,4,Imported from LAI project,
655,nMILI3,,Bonus,MILI,3,6/30/2018,"10.2,10,8,7.6","8.6,7.7,9.5,10,6.2",388,140,7.44,8.15,7.68,,,4,Imported from LAI project,
656,nMILI4,,Bonus,MILI,4,6/30/2018,8.2,"6.5,4.5",405,155,6.02,6.87,5.83,,,4,Imported from LAI project,
657,nMILI5,,Bonus,MILI,5,7/6/2018,6.1,4.3,412,105,3.16,3.26,2.92,,,4,Imported from LAI project,
658,nMYFA1,,Bonus,MYFA,1,5/31/2018,3.9,2.6,275,40,NA,NA,NA,,,5,Imported from LAI project,
659,nMYFA10,,Bonus,MYFA,10,7/13/2018,13,"7.5,7.3,8.3",440,220,20.73,19.71,20.43,,,5,Imported from LAI project,
660,nMYFA11,,Bonus,MYFA,11,7/20/2018,"5.5,5","4.5,5",292,130,NA,NA,NA,,,5,Imported from LAI project,
661,nMYFA2,,Bonus,MYFA,2,6/20/2018,4.8,2.5,254,105,1.04,NA,NA,,,4,Imported from LAI project,
662,nMYFA3,,Bonus,MYFA,3,6/20/2018,4,2.6,257,60,1.64,NA,NA,,,4,Imported from LAI project,
663,nMYFA4,,Bonus,MYFA,4,6/30/2018,6,"3.2,3,2.3",322,70,8.7,7.53,9.73,,,4,Imported from LAI project,
664,nMYFA5,,Bonus,MYFA,5,7/4/2018,8.9,7,506,140,9.07,10.17,10.5,,,5,Imported from LAI project,
665,nMYFA6,,Bonus,MYFA,6,7/4/2018,8.7,10,377,170,0.81,NA,NA,,,4,Imported from LAI project,
666,nMYFA7,,Bonus,MYFA,7,7/4/2018,6,3.5,326,140,9.55,8.35,7.22,,,4,Imported from LAI project,
667,nMYFA8,,Bonus,MYFA,8,7/4/2018,4.7,2.9,392,188,5.31,5.14,4.39,,,4,Imported from LAI project,
668,nMYFA9,,Bonus,MYFA,9,NA,3.2,2,224,95,NA,NA,NA,,,3,Imported from LAI project,
669,nMYTO1,,Bonus,MYTO,1,6/16/2018,4.8,2.7,320,115,NA,NA,NA,,,4,Imported from LAI project,
670,nMYTO2,,Bonus,MYTO,2,6/19/2018,3.1,2.4,236,80,NA,NA,NA,,,4,Imported from LAI project,
671,nMYTO3,,Bonus,MYTO,3,7/5/2018,8.5,"5,4.9,4.3,5",374,100,NA,NA,NA,,,4,Imported from LAI project,
672,nMYTO4,,Bonus,MYTO,4,7/5/2018,8.4,"5.5,4.4",421,105,7.43,7.31,7.5,,,4,Imported from LAI project,
673,nMYTO5,,Bonus,MYTO,5,7/16/2018,3.5,"2.2,1.9",282,130,4.84,4.15,3.27,,,4,Imported from LAI project,
674,nOCCO1,,Bonus,OCCO,1,5/31/2018,4.1,2.5,330,60,NA,NA,NA,,,5,Imported from LAI project,
675,nOCCO10,,Bonus,OCCO,10,6/19/2018,5.8,4.8,387,50,NA,NA,NA,,,5,Imported from LAI project,
676,nOCCO11,,Bonus,OCCO,11,7/6/2018,10.5,10.4,488,178,6.69,6.8,5.32,,,4,Imported from LAI project,
677,nOCCO2,,Bonus,OCCO,2,5/31/2018,4.5,3.5,394,105,NA,NA,NA,,,5,Imported from LAI project,
678,nOCCO3,,Bonus,OCCO,3,6/1/2018,2,"1, 0.8",217,55,NA,NA,NA,,,5,Imported from LAI project,
679,nOCCO4,,Bonus,OCCO,4,6/1/2018,3,2.3,280,90,NA,NA,NA,,,5,Imported from LAI project,
680,nOCCO5,,Bonus,OCCO,5,6/2/2018,3.2,1.8,234,65,NA,NA,NA,,,5,Imported from LAI project,
681,nOCCO6,,Bonus,OCCO,6,6/16/2018,18,17.5,621,10,NA,NA,NA,,,4,Imported from LAI project,
682,nOCCO7,,Bonus,OCCO,7,6/16/2018,15.1,"12,8.1,8",473,170,NA,NA,NA,,,4,Imported from LAI project,
683,nOCCO8,,Bonus,OCCO,8,6/20/2018,16.3,14.2,728,204,NA,NA,NA,,,5,Imported from LAI project,
684,nOCCO9,,Bonus,OCCO,9,6/19/2018,"7.7,7.7",14.1,594,110,7.55,7.29,6.19,,,5,Imported from LAI project,
685,nOCPU1,,Bonus,OCPU,1,7/19/2018,6.1,4,323,130,2,2.96,1.81,,,4,Imported from LAI project,
686,nOCPU2,,Bonus,OCPU,2,7/19/2018,3.2,1.8,240,80,1.73,NA,NA,,,4,Imported from LAI project,
687,nOCPU3,,Bonus,OCPU,3,7/23/2018,15.1,"7.7,7.9",516,130,NA,NA,NA,,,4,Imported from LAI project,
688,nOCPU4,,Bonus,OCPU,4,7/23/2018,"4, 3.5","2.5,2.4",317,70,NA,NA,NA,,,4,Imported from LAI project,
689,nOCPU5,,Bonus,OCPU,5,7/23/2018,9,6.9,382,115,NA,NA,NA,,,4,Imported from LAI project,
690,nOUSP1,,Bonus,OUSP,1,7/26/2018,7,5.5,222,140,11.7,13.84,13.91,,,5,Imported from LAI project,
691,nOUSP2,,Bonus,OUSP,2,7/26/2018,9.4,7.5,313,85,14.13,15.85,19.19,,,5,Imported from LAI project,
692,nOUSP3,,Bonus,OUSP,3,7/26/2018,7.8,6.5,414,180,17.65,16.2,18.56,,,5,Imported from LAI project,
693,nOUSP4,,Bonus,OUSP,4,7/26/2018,7,5.6,310,220,16.61,18.58,18.01,,,5,Imported from LAI project,
694,nOUSP5,,Bonus,OUSP,5,7/26/2018,7.5,6,255,60,17.26,19.91,17.53,,,5,Imported from LAI project,
695,nPEOB1,,Bonus,PEOB,1,6/30/2018,20.8,17.8,770,150,6.92,7.14,7.5,,,5,Imported from LAI project,
696,nPEOB10,,Bonus,PEOB,10,7/5/2018,6.1,5.1,717,317,3.1,3.05,2.62,,,4,Imported from LAI project,
697,nPEOB2,,Bonus,PEOB,2,7/4/2018,2.1,1.5,263,140,NA,NA,NA,,,3,Imported from LAI project,
