P,Sub,Number,Species,Ht,DBH,D30,,,,,
2,2,298,=,,1.8,=,,,,,
2,2,299,Cupania tenuivalvis,5,2.1,2,,,,,
2,2,300,Lacistema hasslerianum,4.5,3,2.8,,,,,
2,2,301,Vochysia tucanorum,2.5,1.2,5,,,,,
2,2,302,Miconia albicans,2.5,1.3,2,,,,,
2,2,303,Lacistema hasslerianum,4,2.3,2.7,,,,,
2,2,303,=,,1.9,2.7,,,,,
2,2,303,=,,1.1,=,,,,,
2,2,304,Myrcia tomentosa,4.5,2.7,3.1,,,,,
2,2,305,Plenckia populnea,2.5,2.3,3.7,,,,,
2,2,306,Lacistema hasslerianum,3,2.1,2.8,,,,,
2,2,307,Pera obovata,4,1.9,3.2,,,,,
2,2,308,Vochysia tucanorum,2.5,4.4,5.7,,,,,
2,2,309,Cupania tenuivalvis,3,1.2,1.5,,,,,
2,2,310,Machaerium acutifolium,12,17.2,18.2,,,,,
2,2,311,Machaerium brasiliense,10,6,6.8,,,,,
2,2,312,Vochysia tucanorum,12,17.7,23,,,,,
2,2,313,Pera obovata,9,6.2,6.4,,,,,
2,2,314,Vochysia tucanorum,8,6.2,7,,,,,
2,2,315,Terminalia glabrescens,9,5.8,6.8,,,,,
2,2,316,Platypodium elegans,6,8,NE,,,,,
2,2,317,Machaerium brasiliense,11,15.1,16.4,,,,,
2,2,318,Vochysia tucanorum,4,7.1,8.4,,,,,
2,2,319,Vochysia tucanorum,9,8.2,9.3,,,,,
2,2,320,Pera obovata,9,6.8,7.8,,,,,
2,2,321,Machaerium brasiliense,9,12.1,12.6,,,,,
2,2,322,Pera obovata,11,12.9,15,,,,,
2,2,323,Vochysia tucanorum,10,19.8,22.8,,,,,
2,2,324,Machaerium brasiliense,11,11.5,12,,,,,
2,2,325,Myrcia tomentosa,6,6.5,9,,,,,
2,2,326,Pera obovata,12,25.9,26.4,,,,,
2,2,327,Machaerium brasiliense,10,5.5,6,,,,,
2,2,328,Pera obovata,10,12,14.6,,,,,
2,2,328,=,,7.3,=,,,,,
2,3,329,Lacistema hasslerianum,6,3,3.3,,,,,
2,3,329,=,,3,3,,,,,
2,3,329,=,,1.5,1.7,,,,,
2,3,330,Symplocos pubescens,4,3.1,4,,,,,
2,3,330,=,,2.5,=,,,,,
2,3,331,Machaerium brasiliense,9,4.5,5.5,,,,,
2,3,332,Miconia albicans,3,4.3,4,,,,,
2,3,332,=,,1.2,3.2,,,,,
2,3,333,Lacistema hasslerianum,4,2,2.5,,,,,
2,3,333,=,,1.1,1.5,,,,,
2,3,334,Pera obovata,4,2.1,2.5,,,,,
2,3,335,Lacistema hasslerianum,4,1.8,2,,,,,
2,3,336,Lacistema hasslerianum,4,2.3,2.5,,,,,
2,3,337,Pera obovata,4,2,2.2,,,,,
2,3,338,Lacistema hasslerianum,4,1.3,2,,,,,
2,3,339,Lacistema hasslerianum,4,1.2,1.5,,,,,
